device,eastern_time,var,name,value
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 15:55:35 2019,air_carbon_dioxide_ppm,T6713-Top,646.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 15:55:38 2019,air_humidity_percent,SHT25-Top,16.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 15:55:40 2019,air_temperature_celcius,SHT25-Top,28.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 16:06:44 2019,air_temperature_celcius,SHT25-Top,27.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 16:06:46 2019,air_humidity_percent,SHT25-Top,16.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 16:06:47 2019,air_carbon_dioxide_ppm,T6713-Top,669.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 16:11:38 2019,air_carbon_dioxide_ppm,T6713-Top,644.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 16:11:40 2019,air_humidity_percent,SHT25-Top,17.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 16:11:40 2019,air_temperature_celcius,SHT25-Top,26.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 16:16:40 2019,air_temperature_celcius,SHT25-Top,26.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 16:16:43 2019,air_carbon_dioxide_ppm,T6713-Top,624.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 16:16:45 2019,air_humidity_percent,SHT25-Top,17.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 16:21:43 2019,air_humidity_percent,SHT25-Top,17.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 16:21:46 2019,air_temperature_celcius,SHT25-Top,25.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 16:21:49 2019,air_carbon_dioxide_ppm,T6713-Top,596.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 16:26:39 2019,air_carbon_dioxide_ppm,T6713-Top,613.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 16:26:44 2019,air_temperature_celcius,SHT25-Top,25.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 16:26:47 2019,air_humidity_percent,SHT25-Top,18.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 16:31:43 2019,air_temperature_celcius,SHT25-Top,25.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 16:31:46 2019,air_humidity_percent,SHT25-Top,18.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 16:31:49 2019,air_carbon_dioxide_ppm,T6713-Top,587.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 16:36:41 2019,air_humidity_percent,SHT25-Top,18.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 16:36:41 2019,air_temperature_celcius,SHT25-Top,25.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 16:36:46 2019,air_carbon_dioxide_ppm,T6713-Top,584.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 16:41:40 2019,air_carbon_dioxide_ppm,T6713-Top,584.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 16:41:47 2019,air_temperature_celcius,SHT25-Top,25.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 16:41:49 2019,air_humidity_percent,SHT25-Top,18.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 16:46:41 2019,air_carbon_dioxide_ppm,T6713-Top,575.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 16:46:49 2019,air_humidity_percent,SHT25-Top,18.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 16:46:52 2019,air_temperature_celcius,SHT25-Top,25.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 16:51:46 2019,air_humidity_percent,SHT25-Top,18.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 16:51:49 2019,air_carbon_dioxide_ppm,T6713-Top,573.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 16:51:55 2019,air_temperature_celcius,SHT25-Top,25.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 16:56:44 2019,air_temperature_celcius,SHT25-Top,25.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 16:56:52 2019,air_humidity_percent,SHT25-Top,18.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 16:56:57 2019,air_carbon_dioxide_ppm,T6713-Top,583.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 17:01:44 2019,air_carbon_dioxide_ppm,T6713-Top,585.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 17:01:46 2019,air_humidity_percent,SHT25-Top,18.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 17:01:49 2019,air_temperature_celcius,SHT25-Top,25.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 17:06:44 2019,air_carbon_dioxide_ppm,T6713-Top,571.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 17:06:48 2019,air_temperature_celcius,SHT25-Top,24.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 17:06:50 2019,air_humidity_percent,SHT25-Top,18.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 17:11:42 2019,air_humidity_percent,SHT25-Top,18.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 17:11:43 2019,air_carbon_dioxide_ppm,T6713-Top,563.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 17:11:49 2019,air_temperature_celcius,SHT25-Top,24.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 17:16:44 2019,air_carbon_dioxide_ppm,T6713-Top,559.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 17:16:50 2019,air_humidity_percent,SHT25-Top,18.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 17:16:51 2019,air_temperature_celcius,SHT25-Top,24.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 17:21:46 2019,air_carbon_dioxide_ppm,T6713-Top,554.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 17:21:47 2019,air_temperature_celcius,SHT25-Top,24.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 17:21:51 2019,air_humidity_percent,SHT25-Top,18.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 17:26:45 2019,air_carbon_dioxide_ppm,T6713-Top,553.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 17:26:51 2019,air_humidity_percent,SHT25-Top,18.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 17:26:52 2019,air_temperature_celcius,SHT25-Top,24.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 17:31:46 2019,air_carbon_dioxide_ppm,T6713-Top,556.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 17:31:51 2019,air_humidity_percent,SHT25-Top,18.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 17:31:55 2019,air_temperature_celcius,SHT25-Top,24.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 17:36:47 2019,air_carbon_dioxide_ppm,T6713-Top,550.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 17:36:48 2019,air_temperature_celcius,SHT25-Top,24.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 17:36:56 2019,air_humidity_percent,SHT25-Top,18.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 17:41:52 2019,air_carbon_dioxide_ppm,T6713-Top,543.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 17:41:54 2019,air_humidity_percent,SHT25-Top,18.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 17:41:57 2019,air_temperature_celcius,SHT25-Top,24.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 17:46:47 2019,air_carbon_dioxide_ppm,T6713-Top,541.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 17:46:53 2019,air_temperature_celcius,SHT25-Top,24.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 17:46:54 2019,air_humidity_percent,SHT25-Top,17.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 17:51:49 2019,air_humidity_percent,SHT25-Top,16.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 17:51:49 2019,air_temperature_celcius,SHT25-Top,24.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 17:51:53 2019,air_carbon_dioxide_ppm,T6713-Top,539.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 17:56:52 2019,air_carbon_dioxide_ppm,T6713-Top,546.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 17:56:56 2019,air_temperature_celcius,SHT25-Top,24.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 17:56:57 2019,air_humidity_percent,SHT25-Top,16.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 18:01:48 2019,air_humidity_percent,SHT25-Top,16.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 18:01:48 2019,air_temperature_celcius,SHT25-Top,24.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 18:02:00 2019,air_carbon_dioxide_ppm,T6713-Top,552.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 18:06:53 2019,air_humidity_percent,SHT25-Top,16.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 18:06:55 2019,air_temperature_celcius,SHT25-Top,24.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 18:06:57 2019,air_carbon_dioxide_ppm,T6713-Top,540.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 18:11:51 2019,air_carbon_dioxide_ppm,T6713-Top,530.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 18:11:55 2019,air_temperature_celcius,SHT25-Top,24.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 18:11:58 2019,air_humidity_percent,SHT25-Top,17.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 18:16:51 2019,air_carbon_dioxide_ppm,T6713-Top,535.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 18:16:52 2019,air_temperature_celcius,SHT25-Top,24.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 18:16:57 2019,air_humidity_percent,SHT25-Top,17.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 18:21:53 2019,air_carbon_dioxide_ppm,T6713-Top,539.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 18:21:55 2019,air_humidity_percent,SHT25-Top,16.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 18:22:00 2019,air_temperature_celcius,SHT25-Top,24.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 18:26:51 2019,air_humidity_percent,SHT25-Top,17.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 18:26:56 2019,air_temperature_celcius,SHT25-Top,24.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 18:26:57 2019,air_carbon_dioxide_ppm,T6713-Top,536.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 19:01:54 2019,air_carbon_dioxide_ppm,T6713-Top,530.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 19:01:55 2019,air_humidity_percent,SHT25-Top,16.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 19:01:56 2019,air_temperature_celcius,SHT25-Top,24.00
