device,eastern_time,var,URL
EDU-46CF2F54-f4-5e-ab-5d-fd-81,Tue Mar 12 17:06:26 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-46CF2F54-f4-5e-ab-5d-fd-81_Camera-Top_2019-03-12T21%3A06%3A25Z.png
EDU-46CF2F54-f4-5e-ab-5d-fd-81,Tue Mar 12 18:06:34 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-46CF2F54-f4-5e-ab-5d-fd-81_Camera-Top_2019-03-12T22%3A06%3A34Z.png
EDU-46CF2F54-f4-5e-ab-5d-fd-81,Tue Mar 12 19:06:40 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-46CF2F54-f4-5e-ab-5d-fd-81_Camera-Top_2019-03-12T23%3A06%3A40Z.png
EDU-46CF2F54-f4-5e-ab-5d-fd-81,Tue Mar 12 20:06:49 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-46CF2F54-f4-5e-ab-5d-fd-81_Camera-Top_2019-03-13T00%3A06%3A49Z.png
EDU-46CF2F54-f4-5e-ab-5d-fd-81,Tue Mar 12 22:07:03 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-46CF2F54-f4-5e-ab-5d-fd-81_Camera-Top_2019-03-13T02%3A07%3A02Z.png
EDU-46CF2F54-f4-5e-ab-5d-fd-81,Wed Mar 13 07:07:07 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-46CF2F54-f4-5e-ab-5d-fd-81_Camera-Top_2019-03-13T11%3A07%3A07Z.png
EDU-46CF2F54-f4-5e-ab-5d-fd-81,Wed Mar 13 08:07:10 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-46CF2F54-f4-5e-ab-5d-fd-81_Camera-Top_2019-03-13T12%3A07%3A10Z.png
EDU-46CF2F54-f4-5e-ab-5d-fd-81,Wed Mar 13 09:07:11 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-46CF2F54-f4-5e-ab-5d-fd-81_Camera-Top_2019-03-13T13%3A07%3A11Z.png
EDU-46CF2F54-f4-5e-ab-5d-fd-81,Wed Mar 13 10:07:21 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-46CF2F54-f4-5e-ab-5d-fd-81_Camera-Top_2019-03-13T14%3A07%3A21Z.png
EDU-46CF2F54-f4-5e-ab-5d-fd-81,Wed Mar 13 12:07:30 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-46CF2F54-f4-5e-ab-5d-fd-81_Camera-Top_2019-03-13T16%3A07%3A29Z.png
